funs,pkgs,in_multiple_pkgs,contents,urls
return,base,FALSE,cdf_density.R,https://gist.githubusercontent.com/brshallo/88ba63b4f69f0347c2b483947efb9be3/raw/c85d8af4afe7b7ca5285a485d8a886ea7113d676/cdf_density.R
identical,base,FALSE,cdf_density.R,https://gist.githubusercontent.com/brshallo/88ba63b4f69f0347c2b483947efb9be3/raw/c85d8af4afe7b7ca5285a485d8a886ea7113d676/cdf_density.R
switch,base,FALSE,cdf_density.R,https://gist.githubusercontent.com/brshallo/88ba63b4f69f0347c2b483947efb9be3/raw/c85d8af4afe7b7ca5285a485d8a886ea7113d676/cdf_density.R
paste,base,FALSE,cdf_density.R,https://gist.githubusercontent.com/brshallo/88ba63b4f69f0347c2b483947efb9be3/raw/c85d8af4afe7b7ca5285a485d8a886ea7113d676/cdf_density.R
stop,base,FALSE,cdf_density.R,https://gist.githubusercontent.com/brshallo/88ba63b4f69f0347c2b483947efb9be3/raw/c85d8af4afe7b7ca5285a485d8a886ea7113d676/cdf_density.R
sQuote,base,FALSE,cdf_density.R,https://gist.githubusercontent.com/brshallo/88ba63b4f69f0347c2b483947efb9be3/raw/c85d8af4afe7b7ca5285a485d8a886ea7113d676/cdf_density.R
stopifnot,base,FALSE,cdf_density.R,https://gist.githubusercontent.com/brshallo/88ba63b4f69f0347c2b483947efb9be3/raw/c85d8af4afe7b7ca5285a485d8a886ea7113d676/cdf_density.R
paren,(unknown),FALSE,cdf_density.R,https://gist.githubusercontent.com/brshallo/88ba63b4f69f0347c2b483947efb9be3/raw/c85d8af4afe7b7ca5285a485d8a886ea7113d676/cdf_density.R
inherits,base,FALSE,cdf_density.R,https://gist.githubusercontent.com/brshallo/88ba63b4f69f0347c2b483947efb9be3/raw/c85d8af4afe7b7ca5285a485d8a886ea7113d676/cdf_density.R
is.call,base,FALSE,cdf_density.R,https://gist.githubusercontent.com/brshallo/88ba63b4f69f0347c2b483947efb9be3/raw/c85d8af4afe7b7ca5285a485d8a886ea7113d676/cdf_density.R
any,base,FALSE,cdf_density.R,https://gist.githubusercontent.com/brshallo/88ba63b4f69f0347c2b483947efb9be3/raw/c85d8af4afe7b7ca5285a485d8a886ea7113d676/cdf_density.R
c,base,FALSE,cdf_density.R,https://gist.githubusercontent.com/brshallo/88ba63b4f69f0347c2b483947efb9be3/raw/c85d8af4afe7b7ca5285a485d8a886ea7113d676/cdf_density.R
names,base,FALSE,cdf_density.R,https://gist.githubusercontent.com/brshallo/88ba63b4f69f0347c2b483947efb9be3/raw/c85d8af4afe7b7ca5285a485d8a886ea7113d676/cdf_density.R
warning,base,FALSE,cdf_density.R,https://gist.githubusercontent.com/brshallo/88ba63b4f69f0347c2b483947efb9be3/raw/c85d8af4afe7b7ca5285a485d8a886ea7113d676/cdf_density.R
prange,(unknown),FALSE,cdf_density.R,https://gist.githubusercontent.com/brshallo/88ba63b4f69f0347c2b483947efb9be3/raw/c85d8af4afe7b7ca5285a485d8a886ea7113d676/cdf_density.R
cumsum,base,FALSE,cdf_density.R,https://gist.githubusercontent.com/brshallo/88ba63b4f69f0347c2b483947efb9be3/raw/c85d8af4afe7b7ca5285a485d8a886ea7113d676/cdf_density.R
diff,base,FALSE,cdf_density.R,https://gist.githubusercontent.com/brshallo/88ba63b4f69f0347c2b483947efb9be3/raw/c85d8af4afe7b7ca5285a485d8a886ea7113d676/cdf_density.R
approxfun,stats,FALSE,cdf_density.R,https://gist.githubusercontent.com/brshallo/88ba63b4f69f0347c2b483947efb9be3/raw/c85d8af4afe7b7ca5285a485d8a886ea7113d676/cdf_density.R
library,base,FALSE,if_all-if_any-examples.R,https://gist.githubusercontent.com/brshallo/f0cdfd38f31947b5edbe3efd8efab036/raw/081110dfe414260bcfc13eac15912253f42f8437/if_all-if_any-examples.R
set.seed,base,FALSE,if_all-if_any-examples.R,https://gist.githubusercontent.com/brshallo/f0cdfd38f31947b5edbe3efd8efab036/raw/081110dfe414260bcfc13eac15912253f42f8437/if_all-if_any-examples.R
map,purrr,FALSE,if_all-if_any-examples.R,https://gist.githubusercontent.com/brshallo/f0cdfd38f31947b5edbe3efd8efab036/raw/081110dfe414260bcfc13eac15912253f42f8437/if_all-if_any-examples.R
runif,stats,FALSE,if_all-if_any-examples.R,https://gist.githubusercontent.com/brshallo/f0cdfd38f31947b5edbe3efd8efab036/raw/081110dfe414260bcfc13eac15912253f42f8437/if_all-if_any-examples.R
set_names,purrr,FALSE,if_all-if_any-examples.R,https://gist.githubusercontent.com/brshallo/f0cdfd38f31947b5edbe3efd8efab036/raw/081110dfe414260bcfc13eac15912253f42f8437/if_all-if_any-examples.R
paste0,base,FALSE,if_all-if_any-examples.R,https://gist.githubusercontent.com/brshallo/f0cdfd38f31947b5edbe3efd8efab036/raw/081110dfe414260bcfc13eac15912253f42f8437/if_all-if_any-examples.R
as_tibble,dplyr,TRUE,if_all-if_any-examples.R,https://gist.githubusercontent.com/brshallo/f0cdfd38f31947b5edbe3efd8efab036/raw/081110dfe414260bcfc13eac15912253f42f8437/if_all-if_any-examples.R
