funs,pkgs,relative_paths,urls,absolute_paths
ceiling_date,lubridate,seattle-units-added-new-permits.md,https://gist.githubusercontent.com/brshallo/7a14235134f8e10139f71c3369f8d50f/raw/e72d425aaa4cfc29be6987a4ab477ac46debf908/seattle-units-added-new-permits.md,https://gist.githubusercontent.com/brshallo/7a14235134f8e10139f71c3369f8d50f/raw/e72d425aaa4cfc29be6987a4ab477ac46debf908/seattle-units-added-new-permits.md
ymd,lubridate,seattle-units-added-new-permits.md,https://gist.githubusercontent.com/brshallo/7a14235134f8e10139f71c3369f8d50f/raw/e72d425aaa4cfc29be6987a4ab477ac46debf908/seattle-units-added-new-permits.md,https://gist.githubusercontent.com/brshallo/7a14235134f8e10139f71c3369f8d50f/raw/e72d425aaa4cfc29be6987a4ab477ac46debf908/seattle-units-added-new-permits.md
group_by,dplyr,seattle-units-added-new-permits.md,https://gist.githubusercontent.com/brshallo/7a14235134f8e10139f71c3369f8d50f/raw/e72d425aaa4cfc29be6987a4ab477ac46debf908/seattle-units-added-new-permits.md,https://gist.githubusercontent.com/brshallo/7a14235134f8e10139f71c3369f8d50f/raw/e72d425aaa4cfc29be6987a4ab477ac46debf908/seattle-units-added-new-permits.md
summarise,dplyr,seattle-units-added-new-permits.md,https://gist.githubusercontent.com/brshallo/7a14235134f8e10139f71c3369f8d50f/raw/e72d425aaa4cfc29be6987a4ab477ac46debf908/seattle-units-added-new-permits.md,https://gist.githubusercontent.com/brshallo/7a14235134f8e10139f71c3369f8d50f/raw/e72d425aaa4cfc29be6987a4ab477ac46debf908/seattle-units-added-new-permits.md
sum,base,seattle-units-added-new-permits.md,https://gist.githubusercontent.com/brshallo/7a14235134f8e10139f71c3369f8d50f/raw/e72d425aaa4cfc29be6987a4ab477ac46debf908/seattle-units-added-new-permits.md,https://gist.githubusercontent.com/brshallo/7a14235134f8e10139f71c3369f8d50f/raw/e72d425aaa4cfc29be6987a4ab477ac46debf908/seattle-units-added-new-permits.md
ggplot,ggplot,seattle-units-added-new-permits.md,https://gist.githubusercontent.com/brshallo/7a14235134f8e10139f71c3369f8d50f/raw/e72d425aaa4cfc29be6987a4ab477ac46debf908/seattle-units-added-new-permits.md,https://gist.githubusercontent.com/brshallo/7a14235134f8e10139f71c3369f8d50f/raw/e72d425aaa4cfc29be6987a4ab477ac46debf908/seattle-units-added-new-permits.md
aes,ggplot,seattle-units-added-new-permits.md,https://gist.githubusercontent.com/brshallo/7a14235134f8e10139f71c3369f8d50f/raw/e72d425aaa4cfc29be6987a4ab477ac46debf908/seattle-units-added-new-permits.md,https://gist.githubusercontent.com/brshallo/7a14235134f8e10139f71c3369f8d50f/raw/e72d425aaa4cfc29be6987a4ab477ac46debf908/seattle-units-added-new-permits.md
geom_line,ggplot,seattle-units-added-new-permits.md,https://gist.githubusercontent.com/brshallo/7a14235134f8e10139f71c3369f8d50f/raw/e72d425aaa4cfc29be6987a4ab477ac46debf908/seattle-units-added-new-permits.md,https://gist.githubusercontent.com/brshallo/7a14235134f8e10139f71c3369f8d50f/raw/e72d425aaa4cfc29be6987a4ab477ac46debf908/seattle-units-added-new-permits.md
ylim,ggplot,seattle-units-added-new-permits.md,https://gist.githubusercontent.com/brshallo/7a14235134f8e10139f71c3369f8d50f/raw/e72d425aaa4cfc29be6987a4ab477ac46debf908/seattle-units-added-new-permits.md,https://gist.githubusercontent.com/brshallo/7a14235134f8e10139f71c3369f8d50f/raw/e72d425aaa4cfc29be6987a4ab477ac46debf908/seattle-units-added-new-permits.md
theme_bw,ggplot,seattle-units-added-new-permits.md,https://gist.githubusercontent.com/brshallo/7a14235134f8e10139f71c3369f8d50f/raw/e72d425aaa4cfc29be6987a4ab477ac46debf908/seattle-units-added-new-permits.md,https://gist.githubusercontent.com/brshallo/7a14235134f8e10139f71c3369f8d50f/raw/e72d425aaa4cfc29be6987a4ab477ac46debf908/seattle-units-added-new-permits.md
